Unit1,Unit1Name,Unit2,Unit2Name,Unit1OverUnit2
m,Meter,in,Inch,39.3700787
ft,Feet,in,Inch,12
m,Meter,cm,centimeter,100
cm,Centimeter,mm,Millimeter,10
m,Meter,dm,Desimeter,10
yd,Yard,ft,Feet,3
km,kilometer,m,Meter,1000
mm,Millimeter,nm,Nanometer,1000000
um,Micrometer,nm,Nanometer,1000
nm,Nanometer,A,Angstrom,10
